Agency Code,Agency Name,Bureau Code,Bureau Name,Account Code,Account Name,Treasury Agency Code,Subfunction Code,Subfunction Title,BEA Category,On- or Off- Budget,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
001,Legislative Branch,05,Senate,0123,Miscellaneous Items,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"9,614","11,193","9,474","13,165","5,632","6,232","7,069","7,516","9,891","6,598","7,410","8,000","1,000","7,000","8,000","9,000","10,000","9,000","14,000","19,000","19,000","18,000","17,000","17,000","18,000","21,000","19,000","21,000","19,000","18,000","20,000","21,000","21,000","21,000","22,000","22,000","22,000"
001,Legislative Branch,05,Senate,0126,Secretary of the Senate,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,652,711,655,666,666,727,877,"1,703","1,855","1,452","1,967","9,000",0,"7,000","5,000","3,000","3,000","3,000","9,000","7,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","6,000","6,000","6,000","6,000","6,000","9,000","9,000","9,000","9,000","10,000"
001,Legislative Branch,05,Senate,0127,Sergeant at Arms and Doorkeeper of the Senate,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"34,421","48,472","51,824","64,620","70,271","68,903","74,489","89,756","88,480","79,044","72,410","75,000","39,000","71,000","68,000","72,000","75,000","85,000","135,000","122,000","135,000","141,000","142,000","136,000","142,000","154,000","146,000","142,000","131,000","123,000","131,000","128,000","134,000","137,000","139,000","141,000","142,000"
001,Legislative Branch,05,Senate,0128,Inquiries and Investigations,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"46,916","51,050","48,855","55,141","57,161","62,673","67,942","70,773","74,500","75,000","75,500","73,000","59,000","70,000","76,000","67,000","68,000","69,000","103,000","109,000","118,000","110,000","120,000","121,000","129,000","137,000","141,000","140,000","131,000","125,000","132,000","133,000","134,000","137,000","139,000","141,000","142,000"
001,Legislative Branch,05,Senate,0129,Expenses of United States Senate Caucus on International Narcotics Control,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,311,325,325,325,325,325,336,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0130,Senators' Official Personnel and Office Expense Account,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,526","151,065","159,824","172,756","188,681","193,754","200,295","208,000","197,000","212,000","229,000","229,000","257,000","255,000","282,000","294,000","306,000","321,000","342,000","365,000","374,000","400,000","422,000","410,000","396,000","375,000","390,000","390,000","441,000","450,000","459,000","463,000","468,000"
001,Legislative Branch,05,Senate,0132,Official mail costs,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,688","28,244","8,937","18,514","9,663","3,000","1,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0140,Stationery (revolving fund),00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,100,12,11,13,13,13,752,13,13,-431,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0171,Office of Senate Legal Counsel,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,545,565,541,593,633,646,676,768,833,833,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0172,"Expense allowances of the Secretary of the Senate, Sergeant at Arms, and Doorkeeper of the Senate and secretaries for the majority and for the minority of the Senat",00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,12,12,11,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0183,Office of Senate fair employment practices,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0184,"Settlement and awards reserve, Senate",00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,316,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,0185,Office of the Legislative Counsel of the Senate,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"1,318","1,437","1,375","1,561","1,898","2,079","2,179","2,601","3,080","3,080","3,080","3,000","3,000","3,000","4,000","4,000","4,000","4,000","4,000","5,000","4,000","5,000","5,000","5,000","6,000","6,000","7,000","7,000","7,000","7,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000"
001,Legislative Branch,05,Senate,0188,"Congressional Use of Foreign Currency, Senate",00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,"1,000",400,491,"1,100","2,000",500,"1,500","1,634","1,338","1,726","2,437","3,000","1,000","1,000","1,000","2,000","1,000","1,000","3,000","2,000","4,000","8,000","7,000","8,000","13,000","12,000","9,000","2,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
001,Legislative Branch,05,Senate,4052,Senate office of public records revolving fund,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,4062,Senate gift shop revolving fund,00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,05,Senate,9911,Senate Items,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000","2,000","1,000","2,000","1,000","2,000","1,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
001,Legislative Branch,10,House of Representatives,0000,House of Representatives,00,801,Legislative functions,Discretionary,On-budget,"228,981","57,098","263,613","299,108","315,962","329,928","362,880","382,286","402,526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,0200,Compensation of Members and Related Administrative Expenses,00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,"35,600","37,010","37,633","43,783","50,250","50,250","51,000","63,025","69,615","72,015","75,078","79,000","74,000","74,000","74,000","76,000","78,000","80,000","83,000","86,000","88,000","92,000","94,000","95,000","95,000","99,000","100,000","101,000","101,000","102,000","102,000","101,000","101,000","103,000","105,000","107,000","109,000"
001,Legislative Branch,10,House of Representatives,0208,Mileage of Members,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,210,210,144,210,210,210,209,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,0215,Payment to Widows and Heirs of Deceased Members of Congress,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,0215,Payment to Widows and Heirs of Deceased Members of Congress,00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,285,75,0,303,90,448,268,125,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,0400,Salaries and Expenses,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"373,358","390,860","382,577","516,071","513,487","505,500","527,238","642,832","693,501","671,333","681,711","728,000","671,000","684,000","709,000","740,000","757,000","828,000","922,000","961,000","1,006,000","1,080,000","1,090,000","1,144,000","1,183,000","1,301,000","1,369,000","1,311,000","1,226,000","1,162,000","1,181,000","1,181,000","1,181,000","1,205,000","1,229,000","1,241,000","1,253,000"
001,Legislative Branch,10,House of Representatives,0410,"Salaries, officers and employees",00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"46,079","48,253","46,354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,0488,"Congressional Use of Foreign Currency, House of Representatives",00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,"1,800","1,887","3,350","3,676","2,000",500,"3,313","3,893","3,294","4,210","5,039","5,000","3,000","2,000","2,000","2,000","5,000","4,000","5,000","6,000","14,000","18,000","15,000","15,000","18,000","6,000","10,000","2,000","6,000",0,0,"1,000","1,000","1,000","1,000","5,000","5,000"
001,Legislative Branch,10,House of Representatives,388540,Undistributed Intragovernmental Payments and Receivables from Cancelled Accounts,00,809,Deductions for offsetting receipts,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10,000","9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,4006,Beauty shop (revolving fund),00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,10,House of Representatives,4007,House barber shops (revolving fund),00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,0174,Capitol Guide Service and Special Services Office,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000","1,000",0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,0180,Joint Committee on Printing,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000","1,000","1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,0181,Joint Economic Committee,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
001,Legislative Branch,11,Joint Items,0186,Joint Congressional Committee on Inaugural Ceremonies of 2013,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,"1,000",0,0,0,"1,000",0,0,0,"1,000",0,0,0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,0190,Office of Congressional Accessibility Services,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,255,292,366,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
001,Legislative Branch,11,Joint Items,0420,Legislative Branch emergency response fund,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,0425,Office of the Attending Physician,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000","1,000","1,000","1,000","1,000","2,000","3,000","2,000","3,000","2,000","3,000","3,000","3,000","3,000","3,000","4,000","3,000","3,000","3,000","3,000","3,000","4,000","4,000","4,000","4,000","4,000"
001,Legislative Branch,11,Joint Items,0460,Joint Committee on Taxation,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000","5,000","5,000","6,000","6,000","6,000","6,000","7,000","8,000","8,000","9,000","9,000","9,000","9,000","10,000","11,000","11,000","10,000","9,000","10,000","10,000","10,000","10,000","10,000","11,000","11,000"
001,Legislative Branch,11,Joint Items,322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,00,809,Deductions for offsetting receipts,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-7,000","4,000","-19,000","2,000","-3,000","-24,000","22,000","10,000",0,"-1,000","10,000",0,"-1,000",0,0,0,"-1,000",0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,5083,United States Capitol Police memorial fund,00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,11,Joint Items,508310,United States Capitol Police Memorial Fund,00,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0000,Joint Items,00,801,Legislative functions,Discretionary,On-budget,"72,639","13,705","105,132","73,457","8,902","89,022","61,001","84,472","209,524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0180,Joint Committee on Printing,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,876,917,879,963,"1,037","1,143","1,173","1,269","1,391","1,391","1,344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0181,Joint Economic Committee,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"2,512","2,644","2,530","2,966","3,179","3,330","3,454","3,675","4,020","4,020","3,980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0186,Joint Committee on Inaugural Ceremonies of 1993,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,786,786,0,0,0,775,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0199,"Statements of appropriations, Senate",00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0425,Office of the Attending Physician,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,731,"1,007","1,011","1,298","1,493","1,414","1,399","1,436","1,509","1,509","1,502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0460,Joint Committee on Taxation,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"3,483","3,605","4,458","4,159","4,219","4,346","4,353","5,203","5,759","5,759","5,701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0499,Statements of appropriations,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,6,6,6,20,19,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,0825,Official mail costs,00,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"84,144","11,853","95,700","91,423","82,163","53,926","99,017","33,220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,1450,Awards and Settlements Funds,09,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000","1,000",0,"1,000","1,000","4,000","1,000","1,000",0,0,0,0,"1,000",0,0,0,0,0,0
001,Legislative Branch,12,Office of Compliance,1600,Salaries and Expenses,09,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000","3,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","3,000","3,000","3,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
001,Legislative Branch,13,Capitol Police,0461,Security Enhancements,02,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,000","-15,000","-2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,13,Capitol Police,0474,Salaries,02,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,213,141,"13,104",0,0,"52,922","54,656","64,586","64,093","62,852","62,255","69,000","70,000","69,000","71,000","86,000","93,000","112,000","113,000","240,000","187,000","202,000","247,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,13,Capitol Police,0476,General Expenses,02,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"1,737","1,471","1,279","1,881","1,734","1,887","1,876","3,032","2,029","2,029","1,977","2,000","3,000","6,000","3,000","6,000","7,000","36,000","61,000",0,"33,000","40,000",0,"48,000","54,000","126,000","72,000","65,000","59,000","49,000","59,000","61,000","71,000","72,000","74,000","75,000","75,000"
001,Legislative Branch,13,Capitol Police,0477,Salaries,02,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"218,000","228,000","251,000","270,000","275,000","281,000","273,000","279,000","287,000","307,000","313,000","319,000","323,000","326,000"
001,Legislative Branch,13,Capitol Police,0700,Salaries and expenses,09,801,Legislative functions,Discretionary,On-budget,"6,578","1,512","7,366","8,681","9,700","11,199","11,183","12,169","13,084","14,831","15,692","14,642","16,636","16,901","17,937","18,376","19,557","21,025","21,025","21,315","21,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,13,Capitol Police,8094,Contributions and donations,09,801,Legislative functions,Mandatory,On-budget,0,0,1,3,6,-3,2,2,3,1,3,1,3,3,10,3,5,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,13,Capitol Police,809410,"Contributions and donations, Office of Technology Assessment",09,801,Legislative functions,Mandatory,On-budget,0,0,0,0,0,0,0,0,0,-1,-3,-1,-3,-3,-10,-3,-5,-9,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,14,Congressional Budget Office,0000,Congressional Budget Office,08,801,Legislative functions,Discretionary,On-budget,"4,868","1,184","9,577","10,400","11,368","12,386","12,519","13,226","15,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,14,Congressional Budget Office,0100,Salaries and Expenses,08,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"16,723","17,541","16,160","17,783","17,886","18,361","19,229","21,183","22,542","22,542","22,317","23,000","24,000","25,000","25,000","26,000","26,000","28,000","30,000","32,000","34,000","35,000","35,000","35,000","37,000","46,000","45,000","47,000","44,000","42,000","46,000","46,000","47,000","48,000","49,000","49,000","50,000"
001,Legislative Branch,15,Architect of the Capitol,0000,Architect of the Capitol,,801,Legislative functions,Discretionary,On-budget,"76,290","9,887","62,509","64,927","61,798","114,007","76,638","83,173","143,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,15,Architect of the Capitol,0100,Capitol Construction and Operations,01,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"4,906","5,212","5,184","5,478","5,925","6,532","6,736","7,022","8,144","8,144","8,453","9,000","8,000","8,000",0,0,0,0,"51,000","60,000","130,000","76,000","74,000","78,000","81,000","91,000","102,000","110,000","101,000","89,000","90,000","91,000","95,000","97,000","99,000","100,000","101,000"
001,Legislative Branch,15,Architect of the Capitol,0102,Contingent expenses,01,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,360,235,96,50,48,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,15,Architect of the Capitol,0105,Capitol Building,01,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"13,380","11,644","18,516","12,325","12,793","15,471","15,848","22,090","27,611","23,955","25,993","23,000","23,000","23,000","44,000","45,000","54,000","78,000","120,000","33,000","-16,000","18,000","23,000","24,000","14,000","36,000","34,000","56,000","37,000","75,000","61,000","55,000","58,000","59,000","60,000","61,000","62,000"
001,Legislative Branch,15,Architect of the Capitol,0108,Capitol Grounds,01,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,"3,679","2,896","3,609","3,290","3,404","3,771","4,257","3,818","5,266","5,600","5,289","5,000","5,000","5,000","25,000","6,000","5,000","5,000","6,000","8,000","7,000","15,000","7,000","8,000","10,000","10,000","12,000","11,000","10,000","9,000","14,000","12,000","15,000","15,000","16,000","16,000","16,000"
001,Legislative Branch,15,Architect of the Capitol,0109,West central front of the Capitol,01,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,Legislative Branch,15,Architect of the Capitol,0110,Congressional Cemetery,01,801,Legislative functions,Discretionary,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
